customerID,gender,ContractedDate,CancelledDate,PhoneService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,numAdminTickets,numTechTickets,Churn
7590-VHVEG,Female,24/08/1966,06/03/2013,No,Month-to-month,Yes,Electronic check,29.85,29.85,0,0,Yes
5575-GNVDE,Male,08/03/1979,,Yes,One year,No,Mailed check,56.95,1889.5,0,0,No
3668-QPYBK,Male,10/03/1973,06/03/2013,Yes,Month-to-month,Yes,Mailed check,53.85,108.15,0,0,Yes
7795-CFOCW,Male,18/07/1977,,No,One year,No,Bank transfer (automatic),42.3,1840.75,0,3,No
9237-HQITU,Female,21/06/1980,08/10/2012,Yes,Month-to-month,Yes,Electronic check,70.7,151.65,0,0,Yes
9305-CDSKC,Female,15/08/1991,04/07/2018,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,0,0,Yes
1452-KIOVK,Male,11/04/1999,,Yes,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,0,0,No
6713-OKOMC,Female,07/08/1962,,No,Month-to-month,No,Mailed check,29.75,301.9,0,0,No
7892-POOKP,Female,30/05/1977,11/03/2013,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,0,2,Yes
6388-TABGU,Male,03/04/1981,,Yes,One year,No,Bank transfer (automatic),56.15,3487.95,0,0,No
9763-GRSKD,Male,31/12/1974,,Yes,Month-to-month,Yes,Mailed check,49.95,587.45,1,0,No
7469-LKBCI,Male,08/11/1956,,Yes,Two year,No,Credit card (automatic),18.95,326.8,0,0,No
8091-TTVAX,Male,22/02/1994,,Yes,One year,No,Credit card (automatic),100.35,5681.1,0,0,No
0280-XJGEX,Male,06/11/1993,01/12/2016,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,5,4,Yes
5129-JLPIS,Male,22/10/1956,,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,0,0,No
3655-SNQYZ,Female,06/08/1997,,Yes,Two year,No,Credit card (automatic),113.25,7895.15,0,0,No
8191-XWSZG,Female,21/05/1988,,Yes,One year,No,Mailed check,20.65,1022.95,0,0,No
9959-WOFKT,Male,19/12/1962,,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,0,4,No
4190-MFLUW,Female,01/10/1976,21/04/2017,Yes,Month-to-month,No,Credit card (automatic),55.2,528.35,0,0,Yes
4183-MYFRB,Female,18/02/1981,,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,0,0,No
8779-QRDMV,Male,01/05/1963,06/02/2014,No,Month-to-month,Yes,Electronic check,39.65,39.65,0,0,Yes
1680-VDCWW,Male,08/09/1952,,Yes,One year,No,Bank transfer (automatic),19.8,202.25,2,0,No
1066-JKSGK,Male,24/05/1969,30/11/2008,Yes,Month-to-month,No,Mailed check,20.15,20.15,4,0,Yes
3638-WEABW,Female,15/07/1955,,Yes,Two year,Yes,Credit card (automatic),59.9,3505.1,1,0,No
6322-HRPFA,Male,08/01/1959,,Yes,Month-to-month,No,Credit card (automatic),59.6,2970.3,0,3,No
6865-JZNKO,Female,07/11/1975,,Yes,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,0,0,No
6467-CHFZW,Male,19/05/1968,26/11/2020,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,0,4,Yes
8665-UTDHZ,Male,05/06/1963,31/08/2003,No,Month-to-month,No,Electronic check,30.2,30.2,0,0,Yes
5248-YGIJN,Male,11/10/1964,,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,1,0,No
8773-HHUOZ,Female,06/12/1999,21/05/2007,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,0,0,Yes
3841-NFECX,Female,07/02/1969,,Yes,Two year,Yes,Credit card (automatic),96.35,6766.95,0,0,No
4929-XIHVW,Male,28/12/1965,,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,0,0,No
6827-IEAUQ,Female,19/07/1963,,Yes,One year,No,Mailed check,66.15,1874.45,0,0,No
7310-EGVHZ,Male,14/08/1966,,Yes,Month-to-month,No,Bank transfer (automatic),20.2,20.2,0,0,No
3413-BMNZE,Male,16/09/1980,,Yes,Month-to-month,No,Bank transfer (automatic),45.25,45.25,0,0,No
6234-RAAPL,Female,14/06/1986,,Yes,Two year,No,Bank transfer (automatic),99.9,7251.7,0,0,No
6047-YHPVI,Male,27/11/1966,10/07/2003,Yes,Month-to-month,Yes,Electronic check,69.7,316.9,0,0,Yes
6572-ADKRS,Female,09/05/1972,,Yes,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,3,0,No
5380-WJKOV,Male,12/12/1969,30/10/2012,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,0,4,Yes
8168-UQWWF,Female,28/07/1957,21/05/2003,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,0,2,Yes
8865-TNMNX,Male,01/07/1974,,Yes,One year,No,Mailed check,49.55,475.7,5,0,No
9489-DEDVP,Female,24/01/1996,,Yes,Two year,Yes,Credit card (automatic),69.2,4872.35,0,0,No
9867-JCZSP,Female,13/09/1971,,Yes,One year,No,Mailed check,20.75,418.25,0,0,No
4671-VJLCL,Female,15/04/1976,,Yes,Two year,Yes,Credit card (automatic),79.85,4861.45,0,0,No
4080-IIARD,Female,30/06/1983,,Yes,Month-to-month,Yes,Electronic check,76.2,981.45,4,0,No
3714-NTNFO,Female,07/06/1965,,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,0,3,No
5948-UJZLF,Male,14/09/1994,,Yes,Month-to-month,No,Mailed check,49.25,97,0,0,No
7760-OYPDY,Female,05/06/1999,23/01/2022,Yes,Month-to-month,Yes,Electronic check,80.65,144.15,0,0,Yes
7639-LIAYI,Male,30/11/1959,,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,1,0,No
2954-PIBKO,Female,20/07/2000,,Yes,Two year,Yes,Credit card (automatic),64.15,4254.1,0,0,No
8012-SOUDQ,Female,09/02/1969,,Yes,Month-to-month,Yes,Electronic check,90.25,3838.75,0,0,No
9420-LOJKX,Female,19/12/1968,19/01/2018,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,0,1,Yes
6575-SUVOI,Female,05/10/1970,,Yes,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,4,0,No
7495-OOKFY,Female,19/08/1996,09/09/2015,Yes,Month-to-month,Yes,Credit card (automatic),80.65,633.3,0,0,Yes
4667-QONEA,Female,27/05/1962,,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,0,0,No
1658-BYGOY,Male,07/05/1974,20/08/2016,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,0,1,Yes
8769-KKTPH,Female,06/12/1990,,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,0,0,No
5067-XJQFU,Male,15/08/1973,,Yes,One year,Yes,Electronic check,108.45,7076.35,3,0,No
3957-SQXML,Female,15/09/1996,,Yes,Two year,No,Credit card (automatic),24.95,894.3,0,0,No
5954-BDFSG,Female,30/07/1995,,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,0,0,No
0434-CSFON,Female,02/12/1976,,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,0,0,No
1215-FIGMP,Male,12/06/1972,,Yes,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,0,0,No
